Percentage served,Time in ms
0,4.510
1,7.328
2,7.861
3,8.183
4,8.417
5,8.568
6,8.684
7,8.760
8,8.829
9,8.890
10,8.954
11,9.021
12,9.084
13,9.146
14,9.206
15,9.267
16,9.332
17,9.391
18,9.446
19,9.496
20,9.547
21,9.601
22,9.651
23,9.700
24,9.750
25,9.804
26,9.853
27,9.911
28,9.972
29,10.038
30,10.101
31,10.173
32,10.249
33,10.331
34,10.411
35,10.497
36,10.590
37,10.692
38,10.788
39,10.877
40,10.975
41,11.067
42,11.150
43,11.228
44,11.301
45,11.367
46,11.422
47,11.479
48,11.535
49,11.594
50,11.648
51,11.709
52,11.758
53,11.812
54,11.863
55,11.910
56,11.966
57,12.015
58,12.069
59,12.130
60,12.189
61,12.249
62,12.315
63,12.389
64,12.454
65,12.521
66,12.587
67,12.657
68,12.727
69,12.788
70,12.858
71,12.927
72,12.992
73,13.067
74,13.137
75,13.211
76,13.294
77,13.395
78,13.515
79,13.644
80,13.799
81,13.947
82,14.092
83,14.226
84,14.386
85,14.613
86,14.824
87,15.089
88,15.353
89,15.616
90,15.957
91,16.420
92,17.014
93,17.602
94,18.333
95,19.280
96,20.160
97,21.260
98,22.821
99,24.367
100,39.792
